PDBID,pK
187l,3.37
184l,4.72
185l,3.54
186l,4.85
188l,3.33
1a08,5.62
1a09,6.7
1a07,6.4
13gs,4.62
10gs,6.4
11gs,5.82
16pk,5.22
1a1b,6.4
1a1e,6.0
1a1c,6.4
1a28,8.29
1a0q,7.57
1a30,4.3
1a2c,6.3
1a3e,8.46
1a37,6.92
1a42,9.89
1a46,5.7
1a4h,5.92
1a0t,1.3
1a4m,13.0
1a4w,5.92
1a4r,6.66
1a4k,8.0
1a5g,10.15
1a52,9.86
1a5v,3.1
1a5h,6.3
1a61,8.62
1a7c,4.0
1a7x,9.7
1a85,4.52
1a86,4.0
1a7t,1.64
1a4g,8.4
1a8t,5.8
1a94,7.85
1a9m,6.92
1a4q,5.44
1a99,5.7
1abt,5.85
1aaq,8.4
1a9u,7.32
1abf,5.42
1a50,6.7
1a69,5.3
1acj,8.09
1a9q,6.17
1adl,5.36
1ad8,6.6
1add,6.74
1afk,6.62
1afl,6.28
1agw,4.7
1af2,3.1
1ag9,9.0
1agm,12.0
1aht,6.21
1af6,1.82
1ahx,3.92
1ahy,3.36
1ai4,2.5
1aid,4.82
1a8i,5.52
1ai6,3.97
1aj6,5.92
1ai7,4.09
1ai5,3.72
1ajx,7.91
1ado,6.0
1ajv,7.72
1aj7,3.87
1ajp,2.23
1akq,9.1
1akr,9.09
1akt,8.49
1ajn,2.63
1aku,6.13
1akv,11.59
1akw,8.59
1alw,6.52
1ajq,4.31
1anf,5.46
1ao8,8.22
1amk,4.3
1amn,13.82
1apb,5.82
1amw,4.54
1aq1,8.15
1aq7,6.05
1apv,9.0
1aqc,5.34
1apw,8.0
1at5,4.19
1at6,4.07
1aqi,5.62
1al8,5.32
1aqj,6.47
1au0,7.66
1auj,8.25
1au2,7.89
1atl,6.28
1atr,6.96
1avn,3.9
1al7,7.8
1avp,7.92
1awf,6.01
1awh,6.08
1awi,4.05
1ax1,3.29
1aw1,1.05
1avd,15.0
1axz,3.2
1ax2,3.99
1ax0,3.13
1aze,4.22
1ayu,9.15
1azg,4.8
1axs,7.77
1azl,8.62
1ayv,8.0
1azm,6.1
1b0f,7.7
1ao0,4.96
1azx,9.4
1b11,7.39
1b2i,5.51
1b2m,3.73
1b05,7.12
1b0h,6.7
1b39,6.92
1b1h,7.03
1b38,6.6
1b32,7.1
1b2h,4.54
1b3f,6.89
1b3g,6.7
1b3h,6.21
1b42,4.01
1b3l,5.89
1b40,7.28
1axr,3.27
1b46,5.28
1b56,6.1
1b4h,5.46
1b4z,5.23
1b51,7.37
1b52,7.12
1b4d,4.81
1b55,7.4
1b5g,8.0
1b6j,7.92
1b58,6.59
1b5h,6.01
1b57,8.0
1b5i,7.05
1b6l,8.3
1b6k,8.74
1b5j,7.43
1b6m,8.4
1b6p,8.52
1b6h,7.82
1b8n,10.52
1b8y,7.85
1b74,1.3
1b8o,10.64
1bbz,5.82
1b7h,8.02
1bap,6.85
1bai,7.7
1ba8,9.0
1b9j,5.96
1bb0,8.36
1bdl,5.85
1bcd,8.7
1bcj,3.7
1bcu,3.28
1bdq,6.34
1bdr,6.68
1bhf,4.38
1bgo,8.46
1bgq,8.57
1bio,5.54
1bhx,6.84
1biw,6.98
1b9s,3.18
1b9t,5.1
1bjr,7.68
1bju,4.8
1bjv,5.54
1bil,9.3
1bkm,5.74
1bl4,8.74
1b9v,3.65
1bim,8.92
1bm2,6.96
1bm6,7.89
1bl6,6.8
1bkj,6.77
1bky,3.84
1bmb,6.15
1bma,4.59
1bmk,7.6
1bm7,7.52
1bmm,7.1
1bmn,8.44
1bmq,7.42
1bn1,9.34
1bn3,9.89
1bn4,9.31
1bnm,10.0
1bnn,10.0
1bnq,9.49
1bji,8.7
1bnt,9.8
1bnu,9.7
1bnw,9.08
1bnv,8.77
1br5,2.7
1bqo,7.74
1br6,3.22
1bp0,5.4
1bq3,5.4
1bo5,3.6
1bq4,5.22
1bra,1.82
1bty,4.74
1bsk,4.12
1bqn,6.22
1btn,4.4
1bt6,5.7
1bug,4.37
1bv7,10.3
1bwa,8.6
1br8,4.74
1bv9,9.96
1bwb,8.42
1bxl,6.47
1bqm,7.35
1bzf,8.3
1bxo,10.0
1bxq,7.38
1bzc,4.92
1bwn,7.06
1bzs,8.0
1c1r,7.63
1bzh,6.77
1c12,8.72
1bzj,4.66
1c1u,8.25
1c1v,7.64
1bux,4.85
1c2t,6.59
1c3e,6.59
1c3i,5.8
1c3b,7.57
1c4v,10.8
1c4u,10.37
1c3r,6.4
1bzy,8.34
1c5f,6.07
1c4y,7.92
1c5o,3.49
1c5n,4.7
1bl7,7.72
1c5c,6.96
1c5p,4.68
1c3x,3.68
1c5s,6.0
1c5t,4.1
1c5q,6.36
1c5z,4.01
1c5y,4.2
1c5x,6.68
1c6y,9.51
